iter	Passed	Remaining
1393	89845	6831
1394	89910	6767
1395	89975	6703
1396	90044	6638
1397	90108	6574
1398	90175	6510
1399	90240	6445
1400	90306	6381
1401	90370	6316
1402	90435	6252
1403	90499	6188
1404	90561	6123
1405	90625	6058
1406	90690	5994
1407	90754	5929
1408	90819	5865
1409	90884	5801
1410	90946	5736
1411	91010	5672
1412	91073	5607
1413	91135	5542
1414	91200	5478
1415	91266	5414
1416	91329	5349
1417	91393	5285
1418	91457	5220
1419	91520	5156
1420	91582	5091
1421	91646	5027
1422	91708	4962
1423	91771	4897
1424	91834	4833
1425	91898	4768
1426	91962	4704
1427	92026	4639
1428	92090	4575
1429	92151	4510
1430	92215	4446
1431	92279	4381
1432	92342	4317
1433	92406	4253
1434	92469	4188
1435	92532	4124
1436	92595	4059
1437	92659	3995
1438	92720	3930
1439	92783	3865
1440	92846	3801
1441	92909	3736
1442	92972	3672
1443	93035	3608
1444	93098	3543
1445	93162	3479
1446	93223	3414
1447	93285	3350
1448	93354	3285
1449	93421	3221
1450	93484	3156
1451	93548	3092
1452	93614	3028
1453	93677	2963
1454	93741	2899
1455	93805	2834
1456	93868	2770
1457	93932	2705
1458	93997	2641
1459	94061	2577
1460	94125	2512
1461	94190	2448
1462	94254	2383
1463	94315	2319
1464	94377	2254
1465	94440	2190
1466	94506	2125
1467	94570	2061
1468	94636	1997
1469	94702	1932
1470	94767	1868
1471	94832	1803
1472	94896	1739
1473	94957	1674
1474	95020	1610
1475	95082	1546
1476	95148	1481
1477	95212	1417
1478	95278	1352
1479	95342	1288
1480	95403	1223
1481	95470	1159
1482	95532	1095
1483	95596	1030
1484	95660	966
1485	95722	901
1486	95788	837
1487	95852	773
1488	95913	708
1489	95977	644
1490	96039	579
1491	96108	515
1492	96173	450
1493	96238	386
1494	96301	322
1495	96363	257
1496	96428	193
1497	96490	128
1498	96551	64
1499	96614	0
